ID,Density,ReferenceRatio,ComputedRate
1,0.0534,15,15.3
2,0.0569,15,13.7
3,0.0568,15,13.8
4,0.0448,15,19.1
5,0.0541,15,15
6,0.0563,15,14
7,0.0526,15,15.6
8,0.0476,15,17.9
9,0.058,15,13.2
10,0.0545,15,14.8
11,0.0556,15,14.3
12,0.0567,15,13.8
13,0.0576,15,13.4
14,0.0518,15,16
15,0.0566,15,13.9
16,0.0559,15,14.2
17,0.0579,15,13.3
18,0.055,15,14.6
19,0.0575,15,13.5
20,0.0575,15,13.5
21,0.0576,15,13.4
22,0.0571,15,13.6
23,0.0579,15,13.3
24,0.0426,15,20.1
25,0.0535,15,15.2
26,0.0565,15,13.9
27,0.0557,15,14.3
28,0.0562,15,14
29,0.0568,15,13.8
30,0.0581,15,13.2
31,0.0553,15,14.4
32,0.0547,15,14.7
33,0.0575,15,13.5
34,0.0443,15,19.3
35,0.0578,15,13.3
36,0.0566,15,13.9
37,0.0577,15,13.4
38,0.0544,15,14.8
39,0.0574,15,13.5
40,0.0538,15,15.1
41,0.0539,15,15.1
42,0.0585,15,13
43,0.0572,15,13.6
44,0.0571,15,13.6
45,0.0557,15,14.3
46,0.057,15,13.7
47,0.0548,15,14.7
48,0.056,15,14.1
49,0.0555,15,14.3
50,0.0497,15,16.9
51,0.0573,15,13.6
52,0.0578,15,13.3
53,0.0552,15,14.5
54,0.0567,15,13.8
55,0.0523,15,15.8
56,0.0547,15,14.7
57,0.0558,15,14.2
58,0.054,15,15
59,0.0538,15,15.1
60,0.0528,15,15.5
61,0.0543,15,14.9
62,0.057,15,13.7
63,0.056,15,14.1
64,0.0554,15,14.4
65,0.0548,15,14.7
66,0.0529,15,15.5
67,0.0496,15,17
68,0.0576,15,13.4
69,0.0526,15,15.6
70,0.0491,15,17.2
71,0.0442,15,19.4
72,0.053,15,15.5
73,0.0578,15,13.3
74,0.0558,15,14.2
75,0.053,15,15.5
76,0.0424,15,20.2
77,0.0582,15,13.2
78,0.0578,15,13.3
79,0.052,15,15.9
80,0.0551,15,14.5
81,0.049,15,17.2
82,0.0541,15,15
83,0.0562,15,14
84,0.0533,15,15.3
85,0.0475,15,17.9
86,0.0433,15,19.8
87,0.0573,15,13.6
88,0.0574,15,13.5
89,0.0575,15,13.5
90,0.0548,15,14.7
